Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Water_Usage(cubic meters),Soil_Type,Season
F001,Cotton,329.4,Sprinkler,8.14,2.21,14.44,76648.2,Loamy,Kharif
F002,Carrot,18.67,Manual,4.77,4.36,42.91,68725.54,Peaty,Kharif
F003,Sugarcane,306.03,Flood,2.91,0.56,33.44,75538.56,Silty,Kharif
F004,Tomato,380.21,Rain-fed,3.32,4.35,34.08,45401.23,Silty,Zaid
F005,Tomato,135.56,Sprinkler,8.33,4.48,43.28,93718.69,Clay,Zaid
F006,Sugarcane,12.5,Sprinkler,6.42,2.25,38.18,46487.98,Loamy,Zaid
F007,Soybean,360.06,Drip,1.83,2.37,44.93,40583.57,Sandy,Rabi
F008,Rice,464.6,Drip,5.18,0.91,4.23,9392.38,Silty,Kharif
F009,Maize,389.37,Drip,0.57,4.93,3.86,60202.14,Peaty,Rabi
F010,Soybean,184.37,Drip,2.18,2.67,17.25,90922.15,Sandy,Kharif
F011,Rice,279.95,Drip,8.02,1.24,32.85,5869.75,Clay,Zaid
F012,Sugarcane,145.32,Flood,3.01,2.27,8.08,88976.51,Clay,Kharif
F013,Wheat,329.1,Drip,5.26,0.83,5.44,45922.35,Clay,Zaid
F014,Rice,246.02,Flood,1.01,3.45,11.38,71953.14,Sandy,Rabi
F015,Sugarcane,305.15,Rain-fed,5.39,2.15,28.77,33615.77,Peaty,Kharif
F016,Barley,60.22,Flood,2.19,0.35,16.03,25132.48,Sandy,Zaid
F017,Carrot,284.01,Manual,5.89,0.81,47.7,88301.46,Loamy,Zaid
F018,Maize,128.23,Rain-fed,4.91,0.77,16.67,18660.03,Loamy,Rabi
F019,Maize,460.93,Drip,1.09,1.31,39.96,54314.28,Sandy,Zaid
F020,Barley,58.85,Sprinkler,3.61,3.32,18.85,92481.89,Sandy,Kharif
F021,Cotton,377.05,Drip,5.95,0.91,29.17,26743.55,Clay,Rabi
F022,Wheat,92.67,Flood,6.95,3.64,30.7,42874.34,Clay,Rabi
F023,Potato,15.67,Drip,9.95,2.99,18.13,41862.86,Loamy,Zaid
F024,Rice,483.88,Drip,6.31,2.29,34.46,61383.07,Clay,Zaid
F025,Barley,75.64,Flood,6.69,3.57,6.14,43847.82,Silty,Zaid
F026,Wheat,162.28,Flood,5.85,2.42,24.63,65838.4,Loamy,Rabi
F027,Cotton,375.1,Rain-fed,0.5,4.76,22.51,39362.44,Clay,Kharif
F028,Tomato,256.19,Flood,7.32,2.19,48.02,81313.04,Silty,Rabi
F029,Wheat,288.52,Manual,1.79,4.78,36.9,23208.04,Silty,Zaid
F030,Potato,286.52,Rain-fed,8.91,0.77,30.5,93407.38,Loamy,Zaid
F031,Barley,136.16,Flood,5.89,1.36,11.86,30098.35,Clay,Zaid
F032,Carrot,350.42,Flood,8.4,2.94,24.34,71580.87,Clay,Rabi
F033,Barley,446.76,Drip,7.79,0.96,46.47,93656.06,Loamy,Zaid
F034,Tomato,264.12,Drip,4.75,4.79,12.92,92745.01,Loamy,Rabi
F035,Soybean,266.03,Drip,8.57,1.35,34.45,43610.21,Silty,Zaid
F036,Cotton,446.16,Manual,4.35,3.47,12.53,38874.28,Loamy,Zaid
F037,Soybean,156.1,Manual,1.18,4.43,40.15,73646.55,Loamy,Zaid
F038,Barley,431.22,Drip,5.71,3.18,45.95,36065.94,Silty,Kharif
F039,Cotton,220.48,Flood,9.96,2.91,10.53,82549.03,Clay,Zaid
F040,Cotton,166.82,Rain-fed,2.85,1.36,46.19,12007.7,Sandy,Zaid
F041,Rice,370.79,Flood,8.18,4.99,35.01,85208.71,Sandy,Kharif
F042,Sugarcane,418.99,Sprinkler,0.78,0.58,26.29,33705.69,Clay,Zaid
F043,Cotton,78.79,Flood,1.35,3,11.45,94754.73,Sandy,Zaid
F044,Soybean,84.12,Manual,4.64,2.53,24.77,40614.4,Sandy,Rabi
F045,Tomato,326.69,Sprinkler,5.24,0.55,18.34,37466.11,Peaty,Kharif
F046,Carrot,112.8,Sprinkler,1.8,1.01,31.57,79966.1,Clay,Kharif
F047,Potato,347.66,Drip,3.86,2.68,31.47,86989.88,Sandy,Kharif
F048,Potato,77.39,Sprinkler,9.34,3,20.53,5874.17,Silty,Zaid
F049,Barley,462.37,Sprinkler,2.3,0.14,39.51,53879.87,Clay,Kharif
F050,Tomato,292.25,Rain-fed,4.08,0.76,45.14,90232.08,Silty,Kharif
